                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.2965,                0.63346,                0.97964,                0.93627,                      1,                0.96605,                0.72406,                 1.1358,                0.54253,                0.83724,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2447,                0.62659,                0.93808,                0.96562,                      1,                0.97136,                0.71394,                 1.2556,                0.64288,                0.87711,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.2686,                0.65368,                0.97344,                0.93528,                      1,                0.96699,                0.73261,                 1.1385,                0.55334,                0.83992,                0.00101,                0.00101,                0.00101
                     53,                 1.2894,                0.63303,                0.96774,                 0.9109,                      1,                0.96471,                0.62413,                 1.3132,                0.63313,                0.88249,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1966,                0.60669,                0.94185,                0.90258,                      1,                0.96098,                0.69262,                 1.0254,                0.55005,                0.83199,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.2891,                 0.6233,                0.98615,                 0.8887,                0.99811,                0.96317,                0.68345,                  1.223,                0.60239,                0.84801,              0.0009506,              0.0009506,              0.0009506
                     56,                  1.203,                0.61037,                 0.9349,                0.92249,                 0.9375,                0.96173,                0.71629,                  1.126,                0.56121,                0.84573,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2299,                0.61974,                0.96287,                0.96418,                      1,                0.97136,                  0.709,                 1.2397,                 0.6331,                0.89507,               0.000911,               0.000911,               0.000911
                     58,                 1.2421,                0.60787,                0.95177,                0.92507,                0.90625,                0.96833,                0.72278,                 1.0989,                0.56792,                0.84878,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.2209,                0.68383,                0.92586,                0.92767,                      1,                0.96171,                0.70429,                 1.2062,                0.59446,                0.86231,              0.0008714,              0.0008714,              0.0008714
